Num steps: 1335000   Return: 531.4   Time: 1:40:07
Num steps: 1340000   Return: 515.8   Time: 1:40:29
Num steps: 1345000   Return: 527.2   Time: 1:40:51
Num steps: 1350000   Return: 606.7   Time: 1:41:16
Num steps: 1355000   Return: 609.9   Time: 1:41:38
Num steps: 1360000   Return: 604.7   Time: 1:41:59
Num steps: 1365000   Return: 601.9   Time: 1:42:21
Num steps: 1370000   Return: 607.8   Time: 1:42:46
Num steps: 1375000   Return: 606.2   Time: 1:43:10
Num steps: 1380000   Return: 617.7   Time: 1:43:32
Num steps: 1385000   Return: 607.4   Time: 1:43:54
Num steps: 1390000   Return: 602.9   Time: 1:44:15
Num steps: 1395000   Return: 598.9   Time: 1:44:37
Num steps: 1400000   Return: 650.9   Time: 1:45:02
Num steps: 1405000   Return: 661.0   Time: 1:45:23
Num steps: 1410000   Return: 661.3   Time: 1:45:45
Num steps: 1415000   Return: 672.0   Time: 1:46:08
Num steps: 1420000   Return: 667.2   Time: 1:46:33
Num steps: 1425000   Return: 655.7   Time: 1:46:54
Num steps: 1430000   Return: 649.1   Time: 1:47:16
Num steps: 1435000   Return: 664.0   Time: 1:47:38
Num steps: 1440000   Return: 665.2   Time: 1:48:00
Num steps: 1445000   Return: 658.6   Time: 1:48:21
Num steps: 1450000   Return: 705.4   Time: 1:48:47
Num steps: 1455000   Return: 694.4   Time: 1:49:08
Num steps: 1460000   Return: 687.5   Time: 1:49:32
Num steps: 1465000   Return: 691.5   Time: 1:49:58
Num steps: 1470000   Return: 682.9   Time: 1:50:20
Num steps: 1475000   Return: 694.7   Time: 1:50:41
Num steps: 1480000   Return: 678.6   Time: 1:51:03
Num steps: 1485000   Return: 690.0   Time: 1:51:24
Num steps: 1490000   Return: 685.4   Time: 1:51:46
Num steps: 1495000   Return: 696.5   Time: 1:52:08
Num steps: 1500000   Return: 618.7   Time: 1:52:33
Num steps: 1505000   Return: 715.1   Time: 1:52:55
Num steps: 1510000   Return: 747.9   Time: 1:53:21
Num steps: 1515000   Return: 759.5   Time: 1:53:43
Num steps: 1520000   Return: 744.8   Time: 1:54:05
Num steps: 1525000   Return: 741.1   Time: 1:54:26
Num steps: 1530000   Return: 738.6   Time: 1:54:48
Num steps: 1535000   Return: 721.5   Time: 1:55:10
Num steps: 1540000   Return: 727.3   Time: 1:55:31
Num steps: 1545000   Return: 734.4   Time: 1:55:53
Num steps: 1550000   Return: 792.5   Time: 1:56:18
Num steps: 1555000   Return: 748.3   Time: 1:56:45
Num steps: 1560000   Return: 773.2   Time: 1:57:06
Num steps: 1565000   Return: 775.4   Time: 1:57:28
Num steps: 1570000   Return: 777.5   Time: 1:57:50
Num steps: 1575000   Return: 790.4   Time: 1:58:11
Num steps: 1580000   Return: 795.4   Time: 1:58:33
Num steps: 1585000   Return: 790.1   Time: 1:58:55
Num steps: 1590000   Return: 783.3   Time: 1:59:16
Num steps: 1595000   Return: 780.4   Time: 1:59:38
Num steps: 1600000   Return: 816.7   Time: 2:00:07
Num steps: 1605000   Return: 856.1   Time: 2:00:29
Num steps: 1610000   Return: 832.0   Time: 2:00:51
Num steps: 1615000   Return: 868.6   Time: 2:01:12
Num steps: 1620000   Return: 856.8   Time: 2:01:34
Num steps: 1625000   Return: 830.3   Time: 2:01:56
Num steps: 1630000   Return: 828.0   Time: 2:02:17
Num steps: 1635000   Return: 863.3   Time: 2:02:39
Num steps: 1640000   Return: 828.2   Time: 2:03:01
Num steps: 1645000   Return: 833.2   Time: 2:03:28
Num steps: 1650000   Return: 880.6   Time: 2:03:53
Num steps: 1655000   Return: 900.7   Time: 2:04:15
Num steps: 1660000   Return: 886.5   Time: 2:04:36
Num steps: 1665000   Return: 903.8   Time: 2:04:58
Num steps: 1670000   Return: 919.1   Time: 2:05:19
Num steps: 1675000   Return: 916.9   Time: 2:05:41
Num steps: 1680000   Return: 899.1   Time: 2:06:03
Num steps: 1685000   Return: 883.1   Time: 2:06:25
Num steps: 1690000   Return: 895.6   Time: 2:06:50
Num steps: 1695000   Return: 869.7   Time: 2:07:13
Num steps: 1700000   Return: 949.9   Time: 2:07:39
Num steps: 1705000   Return: 920.9   Time: 2:08:00
Num steps: 1710000   Return: 909.1   Time: 2:08:21
Num steps: 1715000   Return: 943.4   Time: 2:08:43
Num steps: 1720000   Return: 946.3   Time: 2:09:04
Num steps: 1725000   Return: 868.8   Time: 2:09:26
Num steps: 1730000   Return: 933.5   Time: 2:09:48
Num steps: 1735000   Return: 935.0   Time: 2:10:12
Num steps: 1740000   Return: 902.8   Time: 2:10:36
Num steps: 1745000   Return: 912.0   Time: 2:10:57
Num steps: 1750000   Return: 961.9   Time: 2:11:22
Num steps: 1755000   Return: 963.7   Time: 2:11:44
Num steps: 1760000   Return: 953.7   Time: 2:12:06
Num steps: 1765000   Return: 991.3   Time: 2:12:27
Num steps: 1770000   Return: 977.6   Time: 2:12:49
Num steps: 1775000   Return: 992.2   Time: 2:13:11
Num steps: 1780000   Return: 975.5   Time: 2:13:34
Num steps: 1785000   Return: 956.7   Time: 2:13:59
Num steps: 1790000   Return: 959.6   Time: 2:14:21
Num steps: 1795000   Return: 983.4   Time: 2:14:42
Num steps: 1800000   Return: 1035.6   Time: 2:15:08
Num steps: 1805000   Return: 1026.4   Time: 2:15:29
Num steps: 1810000   Return: 1003.4   Time: 2:15:51
Num steps: 1815000   Return: 995.3   Time: 2:16:12
Num steps: 1820000   Return: 1007.8   Time: 2:16:34
Num steps: 1825000   Return: 1009.5   Time: 2:16:56
Num steps: 1830000   Return: 1035.5   Time: 2:17:22
Num steps: 1835000   Return: 1021.9   Time: 2:17:43
Num steps: 1840000   Return: 1017.5   Time: 2:18:05
Num steps: 1845000   Return: 996.4   Time: 2:18:27
Num steps: 1850000   Return: 1023.6   Time: 2:18:52
Num steps: 1855000   Return: 1087.0   Time: 2:19:13
Num steps: 1860000   Return: 1054.7   Time: 2:19:35
Num steps: 1865000   Return: 1047.1   Time: 2:19:56
Num steps: 1870000   Return: 942.3   Time: 2:20:18
Num steps: 1875000   Return: 1028.2   Time: 2:20:45
Num steps: 1880000   Return: 1007.0   Time: 2:21:07
Num steps: 1885000   Return: 1028.1   Time: 2:21:28
Num steps: 1890000   Return: 1073.4   Time: 2:21:50
Num steps: 1895000   Return: 1076.5   Time: 2:22:11
Num steps: 1900000   Return: 1102.9   Time: 2:22:37
Num steps: 1905000   Return: 1077.7   Time: 2:22:58
